,route.of.administration_intravenous,291,325,600,sex_male,4,species_monkey,848,adult,191,339,sex_male/female,tissue_blood,mode.of.administration_single,164,route.of.administration_oral,route.of.administration_intraperitoneal,species_mouse,18,sex_female,tissue_kidney,species_cattle,species_human,tissue_heart,mode.of.administration_continuous,409,tissue_fat,1272,species_pig,route.of.administration_pollution,mode.of.administration_repeated,species_rat,147,tissue_whole body,tissue_testis,11,tissue_liver,1301
15,False,-31.995762732861788,-1.552668101332694,0.0,False,12.912446215677749,False,0.0,1,13.059580153846154,0.0,False,True,True,62.38461538461539,True,False,False,14.0,True,False,False,False,False,False,0.0279145578231292,False,0.8357523477324162,False,False,False,True,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
16,True,-31.995762732861788,-1.552668101332694,0.0,False,12.912446215677749,False,0.0,1,13.059580153846154,0.0,False,True,True,62.38461538461539,False,False,False,14.0,True,False,False,False,False,False,0.0279145578231292,False,0.8357523477324162,False,False,False,True,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
17,True,-8.016914637254597,-4.666831821365301,1.0181819645236272,False,29.28901143264356,True,0.0040697446982477,0,12.90581496,2.5573246992422094,False,True,True,65.89333333333333,False,False,False,30.0,True,False,False,False,False,False,0.002258537368421,False,0.7367315292169775,False,False,False,False,3.363636363636364,False,False,0.1577271917264578,False,3.6512345679012346
18,True,-8.016914637254597,-4.666831821365301,1.0181819645236272,True,29.28901143264356,True,0.0040697446982477,0,12.90581496,2.5573246992422094,False,True,True,65.89333333333333,False,False,False,30.0,False,False,False,False,False,False,0.002258537368421,False,0.7367315292169775,False,False,False,False,3.363636363636364,False,False,0.1577271917264578,False,3.6512345679012346
19,False,-8.016914637254597,-4.666831821365301,1.0181819645236272,False,29.28901143264356,False,0.0040697446982477,1,12.90581496,2.5573246992422094,False,True,True,65.89333333333333,True,False,True,30.0,True,False,False,False,False,False,0.002258537368421,False,0.7367315292169775,False,False,False,False,3.363636363636364,False,False,0.1577271917264578,False,3.6512345679012346
21,False,-8.016914637254597,-4.666831821365301,1.0181819645236272,True,29.28901143264356,False,0.0040697446982477,1,12.90581496,2.5573246992422094,False,True,True,65.89333333333333,True,False,True,30.0,False,False,False,False,False,False,0.002258537368421,False,0.7367315292169775,False,False,False,False,3.363636363636364,False,False,0.1577271917264578,False,3.6512345679012346
23,False,-8.016914637254597,-4.666831821365301,1.0181819645236272,False,29.28901143264356,False,0.0040697446982477,1,12.90581496,2.5573246992422094,False,True,True,65.89333333333333,True,False,False,30.0,True,False,False,False,False,False,0.002258537368421,False,0.7367315292169775,False,False,False,True,3.363636363636364,False,False,0.1577271917264578,False,3.6512345679012346
25,False,-8.016914637254597,-4.666831821365301,1.0181819645236272,True,29.28901143264356,False,0.0040697446982477,1,12.90581496,2.5573246992422094,False,True,True,65.89333333333333,True,False,False,30.0,False,False,False,False,False,False,0.002258537368421,False,0.7367315292169775,False,False,False,True,3.363636363636364,False,False,0.1577271917264578,False,3.6512345679012346
28,True,-14.789183315075688,-2.955416121379514,0.0,False,16.671824296562214,True,0.0,1,12.975129692307693,-9.515060997495487,False,True,True,67.64102564102564,False,False,False,18.0,True,False,False,False,False,False,0.0209498928571429,False,0.8300677204059526,False,False,False,False,2.6,False,False,0.212118298978877,False,2.419753086419753
29,True,-14.789183315075688,-2.955416121379514,0.0,True,16.671824296562214,True,0.0,1,12.975129692307693,-9.515060997495487,False,True,True,67.64102564102564,False,False,False,18.0,False,False,False,False,False,False,0.0209498928571429,False,0.8300677204059526,False,False,False,False,2.6,False,False,0.212118298978877,False,2.419753086419753
