"Ligand.Name","Canonical.SMILES","Albumin.source.organism","Albumin.concentration,.μM","Method","Scatchard.equation","Temperature,.K"
"HFPO-DA","C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O","Bos taurus",45.1603191329219,"Equilibrium dialysis",FALSE,310
"DONA","C(C(C(=O)O)(F)F)(OC(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)F","Bos taurus",1.5053439710974,"Equilibrium dialysis",FALSE,310
"PFBS","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","Bos taurus",15.053439710974,"Equilibrium dialysis",FALSE,310
"PFHxS","C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F","Bos taurus",0.752671985548698,"Equilibrium dialysis",FALSE,310
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Bos taurus",0.376335992774349,"Equilibrium dialysis",FALSE,310
"9Cl-PF3ONS","C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F","Bos taurus",0.376335992774349,"Equilibrium dialysis",FALSE,310
"PFECHS","C1(C(C(C(C(C1(F)F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)F","Bos taurus",1.5053439710974,"Equilibrium dialysis",FALSE,310
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",10,"Equilibrium dialysis",FALSE,310
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",10,"Equilibrium dialysis",FALSE,310
"PFDA","C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",10,"Equilibrium dialysis",FALSE,310
"PFBS","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","Bos taurus",10,"Equilibrium dialysis",FALSE,310
"PFHxS","C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F","Bos taurus",10,"Equilibrium dialysis",FALSE,310
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Bos taurus",10,"Equilibrium dialysis",FALSE,310
