"Ligand.Name","Canonical.SMILES","Albumin.source.organism","Albumin.concentration,.μM","Method","Scatchard.equation","Temperature,.K"
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",29.5,"19F NMR Titration",FALSE,310
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",29.5,"19F NMR Titration",FALSE,310
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",29.5,"19F NMR Titration",FALSE,310
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",6,"ultrafiltration centrifugation",TRUE,310
"3m-PFOS","C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)F","Homo sapiens",6,"ultrafiltration centrifugation",TRUE,310
"4m-PFOS","C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(F)(F)F)F","Homo sapiens",6,"ultrafiltration centrifugation",TRUE,310
"5m-PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F","Homo sapiens",6,"ultrafiltration centrifugation",TRUE,310
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"ultrafiltration centrifugation",TRUE,310
"3m-PFOA","C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)O","Homo sapiens",6,"ultrafiltration centrifugation",TRUE,310
"5m-PFOA","C(=O)(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"ultrafiltration centrifugation",TRUE,310
"PFBA","C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFPeA","C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFHxA","C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFHpA","C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFDA","C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFUnDA","C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFDoA","C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFTrA","C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFBS","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFHxS","C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"6:2 Cl-PFESA","C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F","Homo sapiens",6,"Equilibrium dialysis",TRUE,310
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,298
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,304
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,310
"HFPO-TA","C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,298
