Study,DOI,Substance,Abbreviation,CAS,Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,PFBS_mixture,PFHxS_mixture,PFOS_mixture,PFBA_mixture,PFPA_mixture,PFHxA_mixture,PFHpA_mixture,PFOA_mixture,PFNA_mixture,PFDA_mixture,PFUnA_mixture,PFDoA_mixture,PFTrDA_mixture,PFTeDA_mixture,PFHxPA_mixture,PFOPA_mixture,PFDPA_mixture,C6/C6_PFPiA_mixture,C6/C8_PFPiA_mixture,C8/C8_PFPiA_mixture,C6/C10_PFPiA_mixture,C8/C10_PFPiA_mixture,C6/C12_PFPiA_mixture,log(BCF) (L/Kg)
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.66,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.3
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorodecylphosphonic acid,PFDPA,52299-26-0,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,4.179,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.12
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.22,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,6.71
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,5.11,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.95
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.22,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.86
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,liver,5.11,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,5.01
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.22,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.21
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,5.11,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.49
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.22,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.83
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,5.11,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.42
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.22,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,5.63
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorohexyl) phosphinic acid,C6/C6 PFPiA,40143-77-9,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,5.11,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,4.62
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.000506,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,9.37
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.057,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.9
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.000506,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,8.29
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.057,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,6.69
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.000506,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,7.78
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.057,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,6.26
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.000506,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,8.46
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.057,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,6.41
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.000506,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,8.23
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorooctyl phosphinate,C6/C8 PFPiA,610800-34-5,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.057,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,6.48
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.0000372,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,10.05
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.00237,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,9.15
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.0000372,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,8.7
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.00237,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,6.19
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.0000372,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,8.45
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.00237,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.31
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.0000372,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,9.18
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.00237,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.73
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.0000372,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,8.93
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Bis(perfluorooctyl) phosphinic acid,C8/C8 PFPiA,40143-79-1,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.00237,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.67
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.0000264,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,10.41
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.00208,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,9.35
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.0000264,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,9.09
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.00208,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,6.47
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.0000264,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,8.79
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.00208,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.52
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.0000264,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,9.47
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.00208,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.78
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.0000264,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,9.24
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexylperfluorodecyl phosphinic acid,C6/C10 PFPiA,1240600-40-1,C(C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.00208,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,7.81
